Category,count
TREA,13
PORNOGRAPHY/OBSCENE MAT,50
GAMBLING,326
"SEX OFFENSES, NON FORCIBLE",376
EXTORTION,669
BRIBERY,732
BAD CHECKS,891
FAMILY OFFENSES,1128
SUICIDE,1197
LOITERING,2382
EMBEZZLEMENT,2748
ARSON,3524
LIQUOR LAWS,3996
RUNAWAY,4113
KIDNAPPING,5076
DRIVING UNDER THE INFLUENCE,5302
RECOVERED VEHICLE,8052
DRUNKENNESS,9432
DISORDERLY CONDUCT,9573
"SEX OFFENSES, FORCIBLE",10399
STOLEN PROPERTY,10890
PROSTITUTION,16163
TRESPASS,17468
WEAPON LAWS,20065
FORGERY/COUNTERFEITING,22353
SECONDARY CODES,23259
FRAUD,38306
ROBBERY,51672
MISSING PERSON,59458
SUSPICIOUS OCC,72996
BURGLARY,84017
WARRANTS,94956
VANDALISM,104251
DRUG/NARCOTIC,115131
VEHICLE THEFT,119824
ASSAULT,177407
NON-CRIMINAL,216773
OTHER OFFENSES,286727
LARCENY/THEFT,422170
