City,count,top_complaint
CENTRAL PARK,377,Noise - Street/Sidewalk
BREEZY POINT,479,Construction
QUEENS,761,Bridge Condition
NEW HYDE PARK,1605,Blocked Driveway
FLORAL PARK,2787,Damaged Tree
GLEN OAKS,7386,Damaged Tree
ARVERNE,11008,Noise - Residential
BELLEROSE,11430,Damaged Tree
CAMBRIA HEIGHTS,12733,Damaged Tree
ROCKAWAY PARK,16408,Noise - Residential
LITTLE NECK,16628,Damaged Tree
OAKLAND GARDENS,16923,Damaged Tree
KEW GARDENS,18682,Noise - Residential
ROSEDALE,19394,Noise - Residential
HOWARD BEACH,20262,Illegal Parking
SUNNYSIDE,20860,Noise - Residential
COLLEGE POINT,21935,Blocked Driveway
HOLLIS,23760,Noise - Residential
WHITESTONE,26128,Illegal Parking
SPRINGFIELD GARDENS,27455,Noise - Residential
BAYSIDE,27733,Damaged Tree
SAINT ALBANS,27794,Noise - Residential
MIDDLE VILLAGE,28716,Illegal Parking
REGO PARK,30099,Blocked Driveway
RICHMOND HILL,34660,Blocked Driveway
MASPETH,36827,Illegal Parking
WOODHAVEN,37866,Blocked Driveway
FRESH MEADOWS,38048,Noise - Residential
JACKSON HEIGHTS,42508,Noise - Residential
SOUTH OZONE PARK,43180,Noise - Residential
QUEENS VILLAGE,43911,Noise - Residential
FOREST HILLS,44012,Noise - Residential
LONG ISLAND CITY,44390,Illegal Parking
SOUTH RICHMOND HILL,44837,Blocked Driveway
EAST ELMHURST,47955,Blocked Driveway
FAR ROCKAWAY,49386,Noise - Residential
OZONE PARK,53393,Blocked Driveway
ELMHURST,57441,Noise - Residential
WOODSIDE,60252,Blocked Driveway
CORONA,68069,Blocked Driveway
RIDGEWOOD,90452,Blocked Driveway
ASTORIA,122969,Blocked Driveway
FLUSHING,133531,Blocked Driveway
JAMAICA,177686,Noise - Residential
STATEN ISLAND,323554,Noise - Residential
BRONX,1472636,Noise - Residential
NEW YORK,1518177,Noise - Residential
BROOKLYN,2393479,Noise - Residential
